breed_name,temperment,image,description,akc_rank,height,weight,life_expectancy,group,brushing_scale,shedding_scale,energy_scale,trainability_scale,temperment_scale,color_options
Boerboel,"Confident, Intelligent, Calm",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13000046/Boerboel-On-White-01.jpg,"Boerboels are intimidating but discerning guardians of home and family who learned their trade while protecting remote South African homesteads from ferocious predators. They are dominant and confident, also bright and eager to learn.",Ranks 121 of 197,"24-27 inches (male), 22-25 inches (female)",150-200 pounds,9-11 years,Working Group,20%,40%,40%,60%,40%,"['Brindle', 'Brown', 'Cream', 'Red', 'Reddish Brown', 'Tawny']"
Bohemian Shepherd,"Friendly, Devoted, Alert and Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/06/25124156/Bohemian-Shepherd-outdoors.jpg,"The Bohemian Shepherd is an intelligent, lively, quick, athletic breed which enthusiastically welcomes most any activity introduced, making the breed rather versatile.",NA,"20.5-21.7 inches (males), 19.3-20.5 inches (females)","41-60 pounds (males), 37-53 pounds (females)",12-15 years,Foundation Stock Service,20%,40%,60%,80%,60%,['Black']
Bolognese,"Playful, Easy-Going, Devoted",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07171038/AdobeStock_71665389.jpg,"A small companion breed originating in Italy, the Bolognese is a calm, faithful dog with a long, fluffy pure-white coat. They are very playful, easy-going and love people.",NA,10-12 inches,5.5-9 pounds,12-14 years,Foundation Stock Service,60%,20%,40%,60%,80%,['White']
Border Collie,"Affectionate, Smart, Energetic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235957/Border-Collie-On-White-01.jpg,"A remarkably bright workaholic, the Border Collie is an amazing dog—maybe a bit too amazing for owners without the time, energy, or means to keep it occupied. These energetic dogs will settle down for cuddle time when the workday is done.",Ranks 35 of 197,"19-22 inches (male), 18-21 inches (female)",30-55 pounds,12-15 years,Herding Group,60%,60%,100%,100%,40%,"['Black', 'Blue', 'Blue Merle', 'Brindle', 'Gold', 'Lilac', 'Red', 'Red Merle', 'Sable', 'Sable Merle', 'Saddleback Sable', 'White & Black', 'White & Blue', 'White & Blue Merle', 'White & Red', 'White & Red Merle', 'White Ticked', 'Seal', 'Slate', 'White & Gold', 'White & Sable', 'White & Seal']"
Border Terrier,"Affectionate, Happy, Plucky",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235916/Border-Terrier-On-White-03.jpg,"Admirers of the upbeat and agile Border Terrier cherish their breed’s reputation as a tough, no-frills working terrier. These plucky, happy, and affectionate dogs are popular pets in town and country. The wiry coat is an easy keeper.",Ranks 88 of 197,12-15 inches,"13-15.5 pounds (male), 11.5-14 pounds (female)",12-15 years,Terrier Group,40%,40%,60%,80%,80%,"['Blue & Tan', 'Grizzle & Tan', 'Red', 'Wheaten', 'Black & Red', 'Black & Tan', 'Black Grizzle', 'Blue Grizzle', 'Grizzle', 'Red Grizzle', 'Red Grizzle & Tan', 'Red Wheaten']"
Borzoi,"Affectionate, Loyal, Regally Dignified",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15110821/Borzoi-running-outdoors.jpg,"Among the most impressively beautiful of all dogs, the aristocratic Borzoi is cherished for his calm, agreeable temperament. In full stride, he is a princely package of strength, grace, and glamour flying by at 35 to 40 miles per hour.",Ranks 103 of 197,"28 inches & up (male), 26 inches & up (female)","75-105 pounds (male), 60-85 pounds (female)",9-14 years,Hound Group,40%,60%,80%,40%,60%,"['Black', 'Black & Brindle', 'Black & Cream', 'Black & Tan', 'Brindle', 'Brindled Sable', 'Cream', 'Gold', 'Gold Brindle', 'Gold Sable', 'Red', 'Red Brindle', 'Sable', 'Sabled Gold', 'Sabled Red', 'Silver Brindle', 'Silver Sable', 'White', 'Apricot', 'Blue', 'Blue & Cream', 'Blue Brindle', 'Brown', 'Cream Sable', 'Fawn', 'Mahogany Brindle', 'Mahogany Red', 'Red Sable', 'Sabled Cream', 'Silver']"
Boston Terrier,"Friendly, Bright, Amusing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235803/Boston-Terrier-On-White-03.jpg,"The Boston Terrier is a lively little companion recognized by his tight tuxedo jacket, sporty but compact body, and the friendly glow in his big, round eyes. His impeccable manners have earned him the nickname “The American Gentleman.”",Ranks 21 of 197,15-17 inches,12-25 pounds,11-13 years,Non-Sporting Group,40%,20%,60%,100%,100%,"['Black & White', 'Black Brindle & White', 'Brindle & White', 'Seal & White', 'Seal Brindle & White']"
Bouvier des Flandres,"Affectionate, Courageous, Strong-Willed",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25162012/Bouvier-des-Flandres-standing-atop-a-hill.jpg,"They don’t build ’em like this anymore. Burly and barrel-chested, the tousle-coated dog of Flandres is from a time and place where a dog had to work like … well, a dog. These smart and steady all-purpose workers make excellent watchdogs.",Ranks 84 of 197,"24.5-27.5 inches (male), 23.5-26.5 inches (female)",70-110 pounds,10-12 years,Herding Group,80%,60%,80%,60%,60%,"['Black', 'Brindle', 'Fawn', 'Gray Brindle', 'Pepper & Salt', 'Black & Brindle', 'Black & Brown', 'Black & Fawn', 'Black & Gray', 'Black & White', 'Blue', 'Blue & Gray', 'Brown', 'Silver & Gray', 'White']"
Boxer,"Bright, Fun-Loving, Active",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17154200/Boxer.1.jpg,"Loyalty, affection, intelligence, work ethic, and good looks: Boxers are the whole doggy package. Bright and alert, sometimes silly, but always courageous, the Boxer has been among America’s most popular dog breeds for a very long time.",Ranks 11 of 197,"23-25 inches (male), 21.5-23.5 inches (female)","65-80 pounds (male), females are about 15 pounds less than male",10-12 years,Working Group,40%,40%,80%,80%,100%,"['Brindle', 'Fawn', 'White']"
Boykin Spaniel,"Friendly, Eager, Lovable",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17123933/Boykin-Spaniel-holding-a-dummy-toy.jpg,"A medium-sized flushing and retrieving dog known for its rich brown coat, the Boykin Spaniel is avid, eager, merry, and trainable. This mellow housedog and tenacious bird dog was once South Carolina’s best-kept secret.",Ranks 100 of 197,"15.5-18 inches (male), 14-16.5 inches (female)","30-40 pounds (male), 25-35 pounds (female)",10-15 years,Sporting Group,60%,60%,60%,100%,60%,['Liver']
Bracco Italiano,"Affectionate, Intelligent, Enthusiastic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15104437/Bracco.7.jpg,The Bracco Italiano is one of the oldest of the pointing breeds. It was introduced into the United States in the 1990s and has remained true to its heritage as a versatile gun dog. It is gentle in the home and tireless in the field.,NA,21-27 inches,55-90 pounds,10-14 years,Miscellaneous Class,20%,40%,80%,80%,60%,"['White', 'White & Chestnut', 'White & Orange']"
Braque du Bourbonnais,"Affectionate, Adaptable, Gentle",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01230324/Bourbonnais.jpg,"Pronounced brock-do-bor-bon-NAY, this pointer has a calm, gentle demeanor that is ideally suited for the foot hunter. The breed's relatively small size and short coat well suits them as an ideal home companion for the family that hunts.",NA,19-22.5 inches,35-53 pounds,10-12 years,Foundation Stock Service,Missing 'Care' Scales for 'Braque du Bourbonnais',Missing 'Care' Scales for 'Braque du Bourbonnais',Missing 'Care' Scales for 'Braque du Bourbonnais',Missing 'Care' Scales for 'Braque du Bourbonnais',Missing 'Care' Scales for 'Braque du Bourbonnais',"['Chestnut', 'Fawn']"
Braque Francais Pyrenean,"Friendly, Smart, Willing to Please",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/18142815/Braque-Francais-Pyrenean.jpg,"The Braque Francais Pyrenean is a rustic breed and hails from France. In English, he is the French Pointing Dog Pyrenean Type.",NA,18.5-23 inches,NA,40-55 pounds,Foundation Stock Service,Missing 'Care' Scales for 'Braque Francais Pyrenean',Missing 'Care' Scales for 'Braque Francais Pyrenean',Missing 'Care' Scales for 'Braque Francais Pyrenean',Missing 'Care' Scales for 'Braque Francais Pyrenean',Missing 'Care' Scales for 'Braque Francais Pyrenean',"['Chestnut', 'White & Chestnut']"
Briard,"Confident, Smart, Faithful",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25172951/Briard-standing-in-the-grass.jpg,"The Briard packs so much loyalty, love, and spirit into its ample frame that it's often described as a ""heart wrapped in fur."" The dashing good looks of these muscular Frenchmen radiate a distinct aura of Gallic romance and elegance.",Ranks 132 of 197,"23-27 inches (male), 22-25.5 inches (female)",55-100 pounds,12 years,Herding Group,80%,20%,60%,40%,40%,"['Black', 'Gray', 'Tawny', 'Black & Gray', 'Black & Tawny', 'Tawny & Gray', 'White']"
Brittany,"Bright, Fun-Loving, Upbeat",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19033403/Brittany-1.jpg,"Sportsmen on both sides of the Atlantic cherish the agile, energetic Brittany as a stylish and versatile gundog. Bright and eager at home, and tireless afield, Brittanys require a lot of exercises, preferably with their favorite humans.",Ranks 26 of 197,17.5-20.5 inches,30-40 pounds,12-14 years,Sporting Group,60%,60%,100%,100%,80%,"['Liver & White', 'Liver Roan', 'Liver White & Orange', 'Orange & White', 'Orange Roan', 'White & Liver', 'White & Orange', 'Black & White', 'Black White & Orange', 'Blue Roan', 'White Black & Orange']"
Broholmer,"Friendly, Watchful, Loving",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235434/Broholmer-On-White-01.jpg,"Calm, good-natured, yet watchful and confident, the Broholmer hails from Denmark and makes a great family companion.",NA,27.5-29.5 inches,90-150 pounds,8-10 years,Foundation Stock Service,Missing 'Care' Scales for 'Broholmer',Missing 'Care' Scales for 'Broholmer',Missing 'Care' Scales for 'Broholmer',Missing 'Care' Scales for 'Broholmer',Missing 'Care' Scales for 'Broholmer',"['Black', 'Red Golden', 'Yellow']"
Brussels Griffon,"Loyal, Alert, Curious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01164202/Brussels-Griffon-sitting-outdoors.jpg,"Tipping the scales at no more than 12 pounds, this human-like toy of complex character has enough personality for 10 ordinary dogs. A sensitive companion for discerning grownups, the Brussels Griffon is smart, devoted, and comically self-important.",Ranks 98 of 197,7-10 inches,8-10 pounds,12-15 years,Toy Group,60%,60%,60%,60%,80%,"['Belge', 'Black', 'Black & Tan', 'Red', 'Blue', 'Brown', 'Chocolate', 'Tan', 'Wheaten']"
Bull Terrier,"Playful, Charming, Mischievous",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213126/bull-terrier-on-white-10.jpg,"Among the most comical and mischievous citizens of dogdom, the Bull Terrier is playful and endearing, sometimes stubborn, but always devoted. These unique “eggheads” are exuberant, muscular companions who thrive on affection and exercise.",Ranks 62 of 197,21-22 inches,50-70 pounds,12-13 years,Terrier Group,40%,60%,80%,40%,80%,"['Black & Tan', 'Black Brindle', 'Black Brindle & White', 'Black Tan & White', 'Brindle', 'Brindle & White', 'Red', 'Red & White', 'White', 'White & Black Brindle', 'White & Brindle', 'White & Red', 'White Black & Tan', 'Fawn', 'Fawn & White', 'Fawn Smut', 'Fawn Smut & White', 'Red Smut', 'Red Smut & White', 'White & Fawn', 'White & Fawn Smut', 'White & Red Smut']"
Bulldog,"Friendly, Courageous, Calm",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11234019/Bulldog-standing-in-the-grass.jpg,"Kind but courageous, friendly but dignified, the Bulldog is a thick-set, low-slung, well-muscled bruiser whose “sourmug” face is the universal symbol of courage and tenacity. These docile, loyal companions adapt well to town or country.",Ranks 5 of 197,14-15 inches,"50 pounds (male), 40 pounds (female)",8-10 years,Non-Sporting Group,60%,80%,60%,60%,80%,"['Fallow', 'Fawn', 'Fawn & Brindle', 'Fawn & White', 'Fawn Brindle & White', 'Red', 'Red & White', 'Red Brindle', 'Red Brindle & White', 'White']"
Bullmastiff,"Affectionate, Loyal, Brave",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22123345/Bullmastiff-standing-in-a-field.jpg,"Fearless at work, docile at home, the Bullmastiff is a large, muscular guarder who pursued and held poachers in Merry Old England—merry, we suppose, for everyone but poachers. Bullmastiffs are the result of Bulldog and Mastiff crosses.",Ranks 51 of 197,"25-27 inches (male), 24-26 inches (female)","110-130 pounds (male), 100-120 pounds (female)",7-9 years,Working Group,20%,60%,80%,60%,60%,"['Fawn', 'Fawn Brindle', 'Red', 'Red Brindle', 'Red Fawn', 'Red Fawn Brindle']"
Cairn Terrier,"Alert, Cheerful, Busy",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12164822/Cairn-Terrier-sitting-in-the-grass.jpg,"Cairn Terriers are happy, busy little earthdogs originally bred to fearlessly root out foxes and other small, furred prey in the rocky Scottish countryside. Curious and alert, Cairns like having a place where they can explore and dig.",Ranks 69 of 197,"10 inches (male), 9.5 inches (female)","14 pounds (male), 13 pounds (female)",13-15 years,Terrier Group,40%,40%,60%,60%,80%,"['Black', 'Black Brindle', 'Brindle', 'Cream', 'Cream Brindle', 'Gray', 'Gray Brindle', 'Red', 'Red Brindle', 'Silver', 'Wheaten', 'Red Wheaten', 'Silver Brindle', 'Silver Wheaten', 'Wheaten Brindle']"
Canaan Dog,"Confident, Alert, Vigilant",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12235112/Canaan-Dog-On-White-01.jpg,"One of the AKC's oldest breeds, the Canaan Dog is the national dog of Israel. This quick, medium-sized pasture dog is docile with family, aloof with strangers. The ever-alert Canaan is a vocal and persistent guardian of flock and home.",Ranks 179 of 197,"20-24 inches (male), 19-23 inches (female)","45-55 pounds (male), 35-45 pounds (female)",12-15 years,Herding Group,40%,100%,60%,40%,40%,"['Black', 'Cream', 'Golden', 'Liver', 'Red', 'Tan', 'White']"
Cane Corso,"Affectionate, Intelligent, Majestic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/18123713/Cane-Corso-AKC-121516-296.jpg,"Smart, trainable, and of noble bearing, the assertive and confident Cane Corso is a peerless protector. The Corso’s lineage goes back to ancient Roman times, and the breed’s name roughly translates from the Latin as “bodyguard dog.”",Ranks 32 of 197,"25-27.5 inches (male), 23.5-26 inches (female)",Proportionate to height,9-12 years,Working Group,20%,40%,80%,60%,60%,"['Black', 'Black Brindle', 'Chestnut Brindle', 'Fawn', 'Gray', 'Gray Brindle', 'Red']"
Cardigan Welsh Corgi,"Affectionate, Loyal, Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04202304/Cardigan-Welsh-Corgi-on-White-111.jpg,"The Cardigan Welsh Corgi is a masterpiece of the breeder’s art: Every aspect of its makeup is perfectly suited to moving cattle, and yet it is so congenial and sweet-faced that it would be a cherished companion even if it never did a day’s work.",Ranks 68 of 197,10.5-12.5 inches,"30-38 pounds (male), 25-34 pounds (female)",12-15 years,Herding Group,40%,60%,80%,60%,60%,"['Black & White', 'Blue Merle & White', 'Brindle & White', 'Red & White', 'Sable & White', 'Brindle Merle & White', 'Gray & White', 'Liver & White', 'Red Merle & White', 'Sable Merle & White', 'White Merle']"
Carolina Dog,"Loyal, Independent, Reserved with Strangers",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20113314/Carolina-Dog-standing-outdoors.jpg,"Carolina Dogs are generally shy and suspicious in nature, but once a dog accepts a human into its pack, those behaviors disappear toward that human. A sighthound of medium build, they have the general appearance of a jackal or wolf.",NA,17.75-19.5 inches,NA,30-55 pounds,Foundation Stock Service,20%,60%,60%,100%,60%,"['Black', 'Black & Tan', 'Buff', 'Red', 'Tawny', 'White', 'Yellow']"
